author,title,rating,description,source,buy_link
Suzanne Collins,"The Hunger Games (The Hunger Games, #1)",4.34,Book by Suzanne Collins,goodbooks,"https://www.amazon.in/s?k=The+Hunger+Games+(The+Hunger+Games,+#1)"
"J.K. Rowling, Mary GrandPré","Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",4.44,"Book by J.K. Rowling, Mary GrandPré",goodbooks,"https://www.amazon.in/s?k=Harry+Potter+and+the+Sorcerer's+Stone+(Harry+Potter,+#1)"
Stephenie Meyer,"Twilight (Twilight, #1)",3.57,Book by Stephenie Meyer,goodbooks,"https://www.amazon.in/s?k=Twilight+(Twilight,+#1)"
Harper Lee,To Kill a Mockingbird,4.25,Book by Harper Lee,goodbooks,https://www.amazon.in/s?k=To+Kill+a+Mockingbird
F. Scott Fitzgerald,The Great Gatsby,3.89,Book by F. Scott Fitzgerald,goodbooks,https://www.amazon.in/s?k=The+Great+Gatsby
John Green,The Fault in Our Stars,4.26,Book by John Green,goodbooks,https://www.amazon.in/s?k=The+Fault+in+Our+Stars
J.R.R. Tolkien,The Hobbit,4.25,Book by J.R.R. Tolkien,goodbooks,https://www.amazon.in/s?k=The+Hobbit
J.D. Salinger,The Catcher in the Rye,3.79,Book by J.D. Salinger,goodbooks,https://www.amazon.in/s?k=The+Catcher+in+the+Rye
Dan Brown,"Angels & Demons  (Robert Langdon, #1)",3.85,Book by Dan Brown,goodbooks,"https://www.amazon.in/s?k=Angels+&+Demons+(Robert+Langdon,+#1)"
Jane Austen,Pride and Prejudice,4.24,Book by Jane Austen,goodbooks,https://www.amazon.in/s?k=Pride+and+Prejudice
Khaled Hosseini,The Kite Runner,4.26,Book by Khaled Hosseini,goodbooks,https://www.amazon.in/s?k=The+Kite+Runner
Veronica Roth,"Divergent (Divergent, #1)",4.24,Book by Veronica Roth,goodbooks,"https://www.amazon.in/s?k=Divergent+(Divergent,+#1)"
"George Orwell, Erich Fromm, Celâl Üster",1984,4.14,"Book by George Orwell, Erich Fromm, Celâl Üster",goodbooks,https://www.amazon.in/s?k=1984
George Orwell,Animal Farm,3.87,Book by George Orwell,goodbooks,https://www.amazon.in/s?k=Animal+Farm
"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",The Diary of a Young Girl,4.1,"Book by Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",goodbooks,https://www.amazon.in/s?k=The+Diary+of+a+Young+Girl
"Stieg Larsson, Reg Keeland","The Girl with the Dragon Tattoo (Millennium, #1)",4.11,"Book by Stieg Larsson, Reg Keeland",goodbooks,"https://www.amazon.in/s?k=The+Girl+with+the+Dragon+Tattoo+(Millennium,+#1)"
Suzanne Collins,"Catching Fire (The Hunger Games, #2)",4.3,Book by Suzanne Collins,goodbooks,"https://www.amazon.in/s?k=Catching+Fire+(The+Hunger+Games,+#2)"
"J.K. Rowling, Mary GrandPré, Rufus Beck","Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",4.53,"Book by J.K. Rowling, Mary GrandPré, Rufus Beck",goodbooks,"https://www.amazon.in/s?k=Harry+Potter+and+the+Prisoner+of+Azkaban+(Harry+Potter,+#3)"
J.R.R. Tolkien,"The Fellowship of the Ring (The Lord of the Rings, #1)",4.34,Book by J.R.R. Tolkien,goodbooks,"https://www.amazon.in/s?k=The+Fellowship+of+the+Ring+(The+Lord+of+the+Rings,+#1)"
Suzanne Collins,"Mockingjay (The Hunger Games, #3)",4.03,Book by Suzanne Collins,goodbooks,"https://www.amazon.in/s?k=Mockingjay+(The+Hunger+Games,+#3)"
"J.K. Rowling, Mary GrandPré","Harry Potter and the Order of the Phoenix (Harry Potter, #5)",4.46,"Book by J.K. Rowling, Mary GrandPré",goodbooks,"https://www.amazon.in/s?k=Harry+Potter+and+the+Order+of+the+Phoenix+(Harry+Potter,+#5)"
Alice Sebold,The Lovely Bones,3.77,Book by Alice Sebold,goodbooks,https://www.amazon.in/s?k=The+Lovely+Bones
"J.K. Rowling, Mary GrandPré","Harry Potter and the Chamber of Secrets (Harry Potter, #2)",4.37,"Book by J.K. Rowling, Mary GrandPré",goodbooks,"https://www.amazon.in/s?k=Harry+Potter+and+the+Chamber+of+Secrets+(Harry+Potter,+#2)"
"J.K. Rowling, Mary GrandPré","Harry Potter and the Goblet of Fire (Harry Potter, #4)",4.53,"Book by J.K. Rowling, Mary GrandPré",goodbooks,"https://www.amazon.in/s?k=Harry+Potter+and+the+Goblet+of+Fire+(Harry+Potter,+#4)"
"J.K. Rowling, Mary GrandPré","Harry Potter and the Deathly Hallows (Harry Potter, #7)",4.61,"Book by J.K. Rowling, Mary GrandPré",goodbooks,"https://www.amazon.in/s?k=Harry+Potter+and+the+Deathly+Hallows+(Harry+Potter,+#7)"
Dan Brown,"The Da Vinci Code (Robert Langdon, #2)",3.79,Book by Dan Brown,goodbooks,"https://www.amazon.in/s?k=The+Da+Vinci+Code+(Robert+Langdon,+#2)"
"J.K. Rowling, Mary GrandPré","Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4.54,"Book by J.K. Rowling, Mary GrandPré",goodbooks,"https://www.amazon.in/s?k=Harry+Potter+and+the+Half-Blood+Prince+(Harry+Potter,+#6)"
William Golding,Lord of the Flies,3.64,Book by William Golding,goodbooks,https://www.amazon.in/s?k=Lord+of+the+Flies
"William Shakespeare, Robert           Jackson",Romeo and Juliet,3.73,"Book by William Shakespeare, Robert           Jackson",goodbooks,https://www.amazon.in/s?k=Romeo+and+Juliet
Gillian Flynn,Gone Girl,4.03,Book by Gillian Flynn,goodbooks,https://www.amazon.in/s?k=Gone+Girl
Kathryn Stockett,The Help,4.45,Book by Kathryn Stockett,goodbooks,https://www.amazon.in/s?k=The+Help
John Steinbeck,Of Mice and Men,3.84,Book by John Steinbeck,goodbooks,https://www.amazon.in/s?k=Of+Mice+and+Men
Arthur Golden,Memoirs of a Geisha,4.08,Book by Arthur Golden,goodbooks,https://www.amazon.in/s?k=Memoirs+of+a+Geisha
